id,sis_id,pre_iso_ortho_gs_response,pre_iso_ortho_gs_score,pre_ortho_iso_gs_response,pre_ortho_iso_gs_score,pre_iso_ortho_hz_response,pre_iso_ortho_hz_score,pre_iso_ortho_hz_front_response,pre_iso_ortho_hz_front_score,pre_iso_ortho_hz_top_response,pre_iso_ortho_hz_top_score,pre_ortho_iso_hz_response,pre_ortho_iso_hz_score,pre_total_score,pre_total_split_score,post_iso_ortho_gs_response,post_iso_ortho_gs_score,post_ortho_iso_gs_response,post_ortho_iso_gs_score,post_iso_ortho_hz_response,post_iso_ortho_hz_score,post_iso_ortho_hz_front_response,post_iso_ortho_hz_front_score,post_iso_ortho_hz_top_response,post_iso_ortho_hz_top_score,post_ortho_iso_hz_response,post_ortho_iso_hz_score,post_total_score,post_total_split_score,pre_post_total_score_diff,pre_post_total_split_score_diff
271648,360859107,C,0,B,1,"A,M",0,A,0,M,1,G,1,2,3,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,1,1
252263,936672199,A,0,B,1,"E,M",1,E,1,M,1,J,0,2,3,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,1,1
242404,180087933,C,0,B,1,"B,M",0,B,0,M,1,G,1,2,3,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,1,1
286337,966694495,D,1,B,1,E,0,,0,,0,,0,2,2,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,1,2
251944,537314220,D,1,B,1,"G,M",0,G,0,M,1,C,0,2,3,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,1,1
256555,226468951,A,0,B,1,"B,M",0,B,0,M,1,G,1,2,3,B,1,B,0,"G,N",1,G,1,N,1,H,1,3,4,1,1
262311,501299719,D,1,A,0,"G,M",0,G,0,M,1,G,1,2,3,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,1,0
255769,219002862,D,1,B,1,"G,M",0,G,0,M,1,B,0,2,3,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,1,1
270606,409750028,D,1,A,0,"G,M",0,G,0,M,1,G,1,2,3,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,1,1
285982,982974454,,0,B,1,"B,M",0,B,0,M,1,G,1,2,3,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,1,0
285898,216317586,D,1,B,1,"B,M",0,B,0,M,1,,0,2,3,B,1,D,1,"B,N",0,B,0,N,1,H,1,3,4,1,1
210978,551805595,C,0,B,1,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
254223,860122077,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,D,0,D,1,"G,N",1,G,1,N,1,H,1,3,4,0,0
262070,513593026,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,A,0,D,1,"G,N",1,G,1,N,1,H,1,3,4,0,0
226685,294851856,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,C,0,"G,N",1,G,1,N,1,H,1,3,4,0,0
248483,254100150,D,1,B,1,"B,N",0,B,0,N,0,G,1,3,3,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,0,1
251171,155564689,B,0,B,1,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,0,0
289460,241954894,D,1,A,0,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
167625,462145775,D,1,B,1,"A,M",0,A,0,M,1,G,1,3,4,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,0,-1
275907,649911679,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,0,0
249210,672593584,D,1,B,1,"E,M",1,E,1,M,1,,0,3,4,B,1,D,1,"G,N",1,G,1,N,1,,0,3,4,0,0
259322,296964694,D,1,B,1,"E,M",1,E,1,M,1,C,0,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
223084,414847975,D,1,B,1,"E,N",0,E,1,N,0,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
259754,280790845,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,0,0
250107,245715970,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"G,O",0,G,1,O,0,H,1,3,4,0,0
250796,694111662,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
265883,884704370,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,0,0
257041,264651749,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,D,0,D,1,"G,N",1,G,1,N,1,H,1,3,4,0,0
248607,287955382,A,0,B,1,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
247929,704386396,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
250400,233904926,D,1,A,0,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"G,M",0,G,1,M,0,H,1,3,4,0,0
252532,605414195,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
246608,831109519,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
251587,515417675,C,0,B,1,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"G,N",1,G,1,N,1,I,0,3,4,0,0
286465,707007988,C,0,B,1,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,0,-1
261031,654476806,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"G,N",1,G,1,N,1,D,0,3,4,0,0
219330,683834908,D,1,A,0,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
246500,146352457,C,0,B,1,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,0,-1
249755,337275773,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"K,O",0,K,0,O,0,H,1,3,3,0,-1
264340,107794551,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,B,0,"G,N",1,G,1,N,1,H,1,3,4,0,0
198435,217340006,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"C,N",0,C,0,N,1,H,1,3,4,0,0
217343,666196611,D,1,B,1,"K,M",0,K,0,M,1,G,1,3,4,B,1,D,1,"B,N",0,B,0,N,1,H,1,3,4,0,0
245101,726519129,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"B,M",0,B,0,M,0,H,1,3,3,0,-1
213909,899903137,D,1,B,1,"E,O",0,E,1,O,0,G,1,3,4,B,1,D,1,"B,O",0,B,0,O,0,H,1,3,3,0,-1
255033,621693315,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"J,O",0,J,0,O,0,H,1,3,3,0,-1
252346,703575558,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
252820,544975983,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"G,N",1,G,1,N,1,I,0,3,4,0,0
246067,942106919,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
247267,948100454,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"E,O",0,E,0,O,0,H,1,3,3,0,-1
238267,803755257,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"G,N",1,G,1,N,1,I,0,3,4,0,0
276886,215778815,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
257763,456074114,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"B,N",0,B,0,N,1,H,1,3,4,0,0
249902,552716754,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
269087,904995882,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,-1,-1
142387,603019837,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,-1,-2
252389,407367068,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,-1,-2
250306,633535162,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,-1,-1
212912,335246354,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,-1,-2
257247,893023446,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,-1,-1
252724,463955243,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"G,N",1,G,1,N,1,I,0,3,4,-1,-1
212237,579693396,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,A,0,"G,N",1,G,1,N,1,H,1,3,4,-1,-1
269027,280378981,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,-1,-1
242338,399421334,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,-1,-2
212162,772558866,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,A,0,D,1,"G,N",1,G,1,N,1,H,1,3,4,-1,-1
260771,639928800,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"E,M",0,E,0,M,0,H,1,3,3,-1,-2
254583,332380801,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"G,N",1,G,1,N,1,I,0,3,4,-1,-1
261890,711037063,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"B,N",0,B,0,N,1,H,1,3,4,-1,-1
230747,711265939,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,-1,-1
263348,642296167,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,-1,-1
261229,766589498,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,-1,-2
223465,187172524,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,-1,-1
226913,857973452,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,D,0,D,1,"G,N",1,G,1,N,1,H,1,3,4,-1,-1
251596,643699259,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,-1,-1
257308,472821159,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,-1,-1
257882,660915021,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,A,0,D,1,"G,N",1,G,1,N,1,H,1,3,4,-1,-1
260099,838244209,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,-1,-1
242668,820399389,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,D,0,D,1,"G,N",1,G,1,N,1,H,1,3,4,-1,-1
255338,707514293,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,-1,-1
250783,876482851,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"B,N",0,B,0,N,1,H,1,3,4,-1,-1
253529,207695913,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,-1,-1
214711,588333006,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,C,0,D,1,"G,N",1,G,1,N,1,H,1,3,4,-1,-1
268444,533323197,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,-1,-1
